n,e*log(n),n,e*log(n) <= n
3.1110,3.0851,3.1110,Si
3.1120,3.0860,3.1120,Si
3.1130,3.0868,3.1130,Si
3.1140,3.0877,3.1140,Si
3.1150,3.0886,3.1150,Si
3.1160,3.0895,3.1160,Si
3.1170,3.0903,3.1170,Si
3.1180,3.0912,3.1180,Si
3.1190,3.0921,3.1190,Si
3.1200,3.0930,3.1200,Si
3.1210,3.0938,3.1210,Si
3.1220,3.0947,3.1220,Si
3.1230,3.0956,3.1230,Si
3.1240,3.0964,3.1240,Si
3.1250,3.0973,3.1250,Si
3.1260,3.0982,3.1260,Si
3.1270,3.0990,3.1270,Si
3.1280,3.0999,3.1280,Si
3.1290,3.1008,3.1290,Si
3.1300,3.1016,3.1300,Si
3.1310,3.1025,3.1310,Si
3.1320,3.1034,3.1320,Si
3.1330,3.1043,3.1330,Si
3.1340,3.1051,3.1340,Si
3.1350,3.1060,3.1350,Si
3.1360,3.1069,3.1360,Si
3.1370,3.1077,3.1370,Si
3.1380,3.1086,3.1380,Si
3.1390,3.1095,3.1390,Si
3.1400,3.1103,3.1400,Si
3.1410,3.1112,3.1410,Si
3.1420,3.1121,3.1420,Si
3.1430,3.1129,3.1430,Si
3.1440,3.1138,3.1440,Si
3.1450,3.1146,3.1450,Si
3.1460,3.1155,3.1460,Si
3.1470,3.1164,3.1470,Si
3.1480,3.1172,3.1480,Si
3.1490,3.1181,3.1490,Si
3.1500,3.1190,3.1500,Si
3.1510,3.1198,3.1510,Si
3.1520,3.1207,3.1520,Si
3.1530,3.1216,3.1530,Si
3.1540,3.1224,3.1540,Si
3.1550,3.1233,3.1550,Si
3.1560,3.1241,3.1560,Si
3.1570,3.1250,3.1570,Si
3.1580,3.1259,3.1580,Si
3.1590,3.1267,3.1590,Si
3.1600,3.1276,3.1600,Si
3.1610,3.1284,3.1610,Si
3.1620,3.1293,3.1620,Si
3.1630,3.1302,3.1630,Si
3.1640,3.1310,3.1640,Si
3.1650,3.1319,3.1650,Si
3.1660,3.1327,3.1660,Si
3.1670,3.1336,3.1670,Si
3.1680,3.1345,3.1680,Si
3.1690,3.1353,3.1690,Si
3.1700,3.1362,3.1700,Si
3.1710,3.1370,3.1710,Si
3.1720,3.1379,3.1720,Si
3.1730,3.1387,3.1730,Si
3.1740,3.1396,3.1740,Si
3.1750,3.1405,3.1750,Si
3.1760,3.1413,3.1760,Si
3.1770,3.1422,3.1770,Si
3.1780,3.1430,3.1780,Si
3.1790,3.1439,3.1790,Si
3.1800,3.1447,3.1800,Si
3.1810,3.1456,3.1810,Si
3.1820,3.1464,3.1820,Si
3.1830,3.1473,3.1830,Si
3.1840,3.1481,3.1840,Si
3.1850,3.1490,3.1850,Si
3.1860,3.1499,3.1860,Si
3.1870,3.1507,3.1870,Si
3.1880,3.1516,3.1880,Si
3.1890,3.1524,3.1890,Si
3.1900,3.1533,3.1900,Si
3.1910,3.1541,3.1910,Si
3.1920,3.1550,3.1920,Si
3.1930,3.1558,3.1930,Si
3.1940,3.1567,3.1940,Si
3.1950,3.1575,3.1950,Si
3.1960,3.1584,3.1960,Si
3.1970,3.1592,3.1970,Si
3.1980,3.1601,3.1980,Si
3.1990,3.1609,3.1990,Si
3.2000,3.1618,3.2000,Si
3.2010,3.1626,3.2010,Si
3.2020,3.1635,3.2020,Si
3.2030,3.1643,3.2030,Si
3.2040,3.1652,3.2040,Si
3.2050,3.1660,3.2050,Si
3.2060,3.1669,3.2060,Si
3.2070,3.1677,3.2070,Si
3.2080,3.1686,3.2080,Si
3.2090,3.1694,3.2090,Si
3.2100,3.1703,3.2100,Si
3.2110,3.1711,3.2110,Si
3.2120,3.1719,3.2120,Si
3.2130,3.1728,3.2130,Si
3.2140,3.1736,3.2140,Si
3.2150,3.1745,3.2150,Si
3.2160,3.1753,3.2160,Si
3.2170,3.1762,3.2170,Si
3.2180,3.1770,3.2180,Si
3.2190,3.1779,3.2190,Si
3.2200,3.1787,3.2200,Si
3.2210,3.1796,3.2210,Si
3.2220,3.1804,3.2220,Si
3.2230,3.1812,3.2230,Si
3.2240,3.1821,3.2240,Si
3.2250,3.1829,3.2250,Si
3.2260,3.1838,3.2260,Si
3.2270,3.1846,3.2270,Si
3.2280,3.1855,3.2280,Si
3.2290,3.1863,3.2290,Si
3.2300,3.1871,3.2300,Si
3.2310,3.1880,3.2310,Si
3.2320,3.1888,3.2320,Si
3.2330,3.1897,3.2330,Si
3.2340,3.1905,3.2340,Si
3.2350,3.1913,3.2350,Si
3.2360,3.1922,3.2360,Si
3.2370,3.1930,3.2370,Si
3.2380,3.1939,3.2380,Si
3.2390,3.1947,3.2390,Si
3.2400,3.1955,3.2400,Si
3.2410,3.1964,3.2410,Si
3.2420,3.1972,3.2420,Si
3.2430,3.1981,3.2430,Si
3.2440,3.1989,3.2440,Si
3.2450,3.1997,3.2450,Si
3.2460,3.2006,3.2460,Si
3.2470,3.2014,3.2470,Si
3.2480,3.2022,3.2480,Si
3.2490,3.2031,3.2490,Si
3.2500,3.2039,3.2500,Si
3.2510,3.2048,3.2510,Si
3.2520,3.2056,3.2520,Si
3.2530,3.2064,3.2530,Si
3.2540,3.2073,3.2540,Si
3.2550,3.2081,3.2550,Si
3.2560,3.2089,3.2560,Si
3.2570,3.2098,3.2570,Si
3.2580,3.2106,3.2580,Si
3.2590,3.2114,3.2590,Si
3.2600,3.2123,3.2600,Si
3.2610,3.2131,3.2610,Si
3.2620,3.2139,3.2620,Si
3.2630,3.2148,3.2630,Si
3.2640,3.2156,3.2640,Si
3.2650,3.2164,3.2650,Si
3.2660,3.2173,3.2660,Si
3.2670,3.2181,3.2670,Si
3.2680,3.2189,3.2680,Si
3.2690,3.2198,3.2690,Si
3.2700,3.2206,3.2700,Si
3.2710,3.2214,3.2710,Si
3.2720,3.2223,3.2720,Si
3.2730,3.2231,3.2730,Si
3.2740,3.2239,3.2740,Si
3.2750,3.2247,3.2750,Si
3.2760,3.2256,3.2760,Si
3.2770,3.2264,3.2770,Si
3.2780,3.2272,3.2780,Si
3.2790,3.2281,3.2790,Si
3.2800,3.2289,3.2800,Si
3.2810,3.2297,3.2810,Si
3.2820,3.2306,3.2820,Si
3.2830,3.2314,3.2830,Si
3.2840,3.2322,3.2840,Si
3.2850,3.2330,3.2850,Si
3.2860,3.2339,3.2860,Si
3.2870,3.2347,3.2870,Si
3.2880,3.2355,3.2880,Si
3.2890,3.2363,3.2890,Si
3.2900,3.2372,3.2900,Si
3.2910,3.2380,3.2910,Si
3.2920,3.2388,3.2920,Si
3.2930,3.2396,3.2930,Si
3.2940,3.2405,3.2940,Si
3.2950,3.2413,3.2950,Si
3.2960,3.2421,3.2960,Si
3.2970,3.2429,3.2970,Si
3.2980,3.2438,3.2980,Si
3.2990,3.2446,3.2990,Si
3.3000,3.2454,3.3000,Si
3.3010,3.2462,3.3010,Si
3.3020,3.2471,3.3020,Si
3.3030,3.2479,3.3030,Si
3.3040,3.2487,3.3040,Si
3.3050,3.2495,3.3050,Si
3.3060,3.2504,3.3060,Si
3.3070,3.2512,3.3070,Si
3.3080,3.2520,3.3080,Si
3.3090,3.2528,3.3090,Si
3.3100,3.2536,3.3100,Si
3.3110,3.2545,3.3110,Si
3.3120,3.2553,3.3120,Si
3.3130,3.2561,3.3130,Si
3.3140,3.2569,3.3140,Si
3.3150,3.2577,3.3150,Si
3.3160,3.2586,3.3160,Si
3.3170,3.2594,3.3170,Si
3.3180,3.2602,3.3180,Si
3.3190,3.2610,3.3190,Si
3.3200,3.2618,3.3200,Si
3.3210,3.2627,3.3210,Si
3.3220,3.2635,3.3220,Si
3.3230,3.2643,3.3230,Si
3.3240,3.2651,3.3240,Si
3.3250,3.2659,3.3250,Si
3.3260,3.2668,3.3260,Si
3.3270,3.2676,3.3270,Si
3.3280,3.2684,3.3280,Si
3.3290,3.2692,3.3290,Si
3.3300,3.2700,3.3300,Si
3.3310,3.2708,3.3310,Si
3.3320,3.2716,3.3320,Si
3.3330,3.2725,3.3330,Si
3.3340,3.2733,3.3340,Si
3.3350,3.2741,3.3350,Si
3.3360,3.2749,3.3360,Si
3.3370,3.2757,3.3370,Si
3.3380,3.2765,3.3380,Si
3.3390,3.2774,3.3390,Si
3.3400,3.2782,3.3400,Si
3.3410,3.2790,3.3410,Si
3.3420,3.2798,3.3420,Si
3.3430,3.2806,3.3430,Si
3.3440,3.2814,3.3440,Si
3.3450,3.2822,3.3450,Si
3.3460,3.2830,3.3460,Si
3.3470,3.2839,3.3470,Si
3.3480,3.2847,3.3480,Si
3.3490,3.2855,3.3490,Si
3.3500,3.2863,3.3500,Si
3.3510,3.2871,3.3510,Si
3.3520,3.2879,3.3520,Si
3.3530,3.2887,3.3530,Si
3.3540,3.2895,3.3540,Si
3.3550,3.2903,3.3550,Si
3.3560,3.2912,3.3560,Si
3.3570,3.2920,3.3570,Si
3.3580,3.2928,3.3580,Si
3.3590,3.2936,3.3590,Si
3.3600,3.2944,3.3600,Si
3.3610,3.2952,3.3610,Si
3.3620,3.2960,3.3620,Si
3.3630,3.2968,3.3630,Si
3.3640,3.2976,3.3640,Si
3.3650,3.2984,3.3650,Si
3.3660,3.2992,3.3660,Si
3.3670,3.3001,3.3670,Si
3.3680,3.3009,3.3680,Si
3.3690,3.3017,3.3690,Si
3.3700,3.3025,3.3700,Si
3.3710,3.3033,3.3710,Si
3.3720,3.3041,3.3720,Si
3.3730,3.3049,3.3730,Si
3.3740,3.3057,3.3740,Si
3.3750,3.3065,3.3750,Si
3.3760,3.3073,3.3760,Si
3.3770,3.3081,3.3770,Si
3.3780,3.3089,3.3780,Si
3.3790,3.3097,3.3790,Si
3.3800,3.3105,3.3800,Si
3.3810,3.3113,3.3810,Si
3.3820,3.3121,3.3820,Si
3.3830,3.3129,3.3830,Si
3.3840,3.3137,3.3840,Si
3.3850,3.3145,3.3850,Si
3.3860,3.3154,3.3860,Si
3.3870,3.3162,3.3870,Si
3.3880,3.3170,3.3880,Si
3.3890,3.3178,3.3890,Si
3.3900,3.3186,3.3900,Si
3.3910,3.3194,3.3910,Si
3.3920,3.3202,3.3920,Si
3.3930,3.3210,3.3930,Si
3.3940,3.3218,3.3940,Si
3.3950,3.3226,3.3950,Si
3.3960,3.3234,3.3960,Si
3.3970,3.3242,3.3970,Si
3.3980,3.3250,3.3980,Si
3.3990,3.3258,3.3990,Si
3.4000,3.3266,3.4000,Si
3.4010,3.3274,3.4010,Si
3.4020,3.3282,3.4020,Si
3.4030,3.3290,3.4030,Si
3.4040,3.3298,3.4040,Si
3.4050,3.3306,3.4050,Si
3.4060,3.3314,3.4060,Si
3.4070,3.3322,3.4070,Si
3.4080,3.3330,3.4080,Si
3.4090,3.3338,3.4090,Si
3.4100,3.3345,3.4100,Si
3.4110,3.3353,3.4110,Si
3.4120,3.3361,3.4120,Si
3.4130,3.3369,3.4130,Si
3.4140,3.3377,3.4140,Si
3.4150,3.3385,3.4150,Si
3.4160,3.3393,3.4160,Si
3.4170,3.3401,3.4170,Si
3.4180,3.3409,3.4180,Si
3.4190,3.3417,3.4190,Si
3.4200,3.3425,3.4200,Si
3.4210,3.3433,3.4210,Si
3.4220,3.3441,3.4220,Si
3.4230,3.3449,3.4230,Si
3.4240,3.3457,3.4240,Si
3.4250,3.3465,3.4250,Si
3.4260,3.3473,3.4260,Si
3.4270,3.3481,3.4270,Si
3.4280,3.3489,3.4280,Si
3.4290,3.3497,3.4290,Si
3.4300,3.3504,3.4300,Si
3.4310,3.3512,3.4310,Si
3.4320,3.3520,3.4320,Si
3.4330,3.3528,3.4330,Si
3.4340,3.3536,3.4340,Si
3.4350,3.3544,3.4350,Si
3.4360,3.3552,3.4360,Si
3.4370,3.3560,3.4370,Si
3.4380,3.3568,3.4380,Si
3.4390,3.3576,3.4390,Si
3.4400,3.3584,3.4400,Si
3.4410,3.3591,3.4410,Si
3.4420,3.3599,3.4420,Si
3.4430,3.3607,3.4430,Si
3.4440,3.3615,3.4440,Si
3.4450,3.3623,3.4450,Si
3.4460,3.3631,3.4460,Si
3.4470,3.3639,3.4470,Si
3.4480,3.3647,3.4480,Si
3.4490,3.3655,3.4490,Si
3.4500,3.3663,3.4500,Si
3.4510,3.3670,3.4510,Si
3.4520,3.3678,3.4520,Si
3.4530,3.3686,3.4530,Si
3.4540,3.3694,3.4540,Si
3.4550,3.3702,3.4550,Si
3.4560,3.3710,3.4560,Si
3.4570,3.3718,3.4570,Si
3.4580,3.3725,3.4580,Si
3.4590,3.3733,3.4590,Si
3.4600,3.3741,3.4600,Si
3.4610,3.3749,3.4610,Si
3.4620,3.3757,3.4620,Si
3.4630,3.3765,3.4630,Si
3.4640,3.3773,3.4640,Si
3.4650,3.3780,3.4650,Si
3.4660,3.3788,3.4660,Si
3.4670,3.3796,3.4670,Si
3.4680,3.3804,3.4680,Si
3.4690,3.3812,3.4690,Si
3.4700,3.3820,3.4700,Si
3.4710,3.3827,3.4710,Si
3.4720,3.3835,3.4720,Si
3.4730,3.3843,3.4730,Si
3.4740,3.3851,3.4740,Si
3.4750,3.3859,3.4750,Si
3.4760,3.3867,3.4760,Si
3.4770,3.3874,3.4770,Si
3.4780,3.3882,3.4780,Si
3.4790,3.3890,3.4790,Si
3.4800,3.3898,3.4800,Si
3.4810,3.3906,3.4810,Si
3.4820,3.3913,3.4820,Si
3.4830,3.3921,3.4830,Si
3.4840,3.3929,3.4840,Si
3.4850,3.3937,3.4850,Si
3.4860,3.3945,3.4860,Si
3.4870,3.3952,3.4870,Si
3.4880,3.3960,3.4880,Si
3.4890,3.3968,3.4890,Si
3.4900,3.3976,3.4900,Si
3.4910,3.3984,3.4910,Si
3.4920,3.3991,3.4920,Si
3.4930,3.3999,3.4930,Si
3.4940,3.4007,3.4940,Si
3.4950,3.4015,3.4950,Si
3.4960,3.4023,3.4960,Si
3.4970,3.4030,3.4970,Si
3.4980,3.4038,3.4980,Si
3.4990,3.4046,3.4990,Si
3.5000,3.4054,3.5000,Si
3.5010,3.4061,3.5010,Si
3.5020,3.4069,3.5020,Si
3.5030,3.4077,3.5030,Si
3.5040,3.4085,3.5040,Si
3.5050,3.4092,3.5050,Si
3.5060,3.4100,3.5060,Si
3.5070,3.4108,3.5070,Si
3.5080,3.4116,3.5080,Si
3.5090,3.4123,3.5090,Si
3.5100,3.4131,3.5100,Si
3.5110,3.4139,3.5110,Si
3.5120,3.4147,3.5120,Si
3.5130,3.4154,3.5130,Si
3.5140,3.4162,3.5140,Si
3.5150,3.4170,3.5150,Si
3.5160,3.4178,3.5160,Si
3.5170,3.4185,3.5170,Si
3.5180,3.4193,3.5180,Si
3.5190,3.4201,3.5190,Si
3.5200,3.4209,3.5200,Si
3.5210,3.4216,3.5210,Si
3.5220,3.4224,3.5220,Si
3.5230,3.4232,3.5230,Si
3.5240,3.4239,3.5240,Si
3.5250,3.4247,3.5250,Si
3.5260,3.4255,3.5260,Si
3.5270,3.4263,3.5270,Si
3.5280,3.4270,3.5280,Si
3.5290,3.4278,3.5290,Si
3.5300,3.4286,3.5300,Si
3.5310,3.4293,3.5310,Si
3.5320,3.4301,3.5320,Si
3.5330,3.4309,3.5330,Si
3.5340,3.4316,3.5340,Si
3.5350,3.4324,3.5350,Si
3.5360,3.4332,3.5360,Si
3.5370,3.4339,3.5370,Si
3.5380,3.4347,3.5380,Si
3.5390,3.4355,3.5390,Si
3.5400,3.4363,3.5400,Si
3.5410,3.4370,3.5410,Si
3.5420,3.4378,3.5420,Si
3.5430,3.4386,3.5430,Si
3.5440,3.4393,3.5440,Si
3.5450,3.4401,3.5450,Si
3.5460,3.4409,3.5460,Si
3.5470,3.4416,3.5470,Si
3.5480,3.4424,3.5480,Si
3.5490,3.4432,3.5490,Si
3.5500,3.4439,3.5500,Si
3.5510,3.4447,3.5510,Si
3.5520,3.4455,3.5520,Si
3.5530,3.4462,3.5530,Si
3.5540,3.4470,3.5540,Si
3.5550,3.4477,3.5550,Si
3.5560,3.4485,3.5560,Si
3.5570,3.4493,3.5570,Si
3.5580,3.4500,3.5580,Si
3.5590,3.4508,3.5590,Si
3.5600,3.4516,3.5600,Si
3.5610,3.4523,3.5610,Si
3.5620,3.4531,3.5620,Si
3.5630,3.4539,3.5630,Si
3.5640,3.4546,3.5640,Si
3.5650,3.4554,3.5650,Si
3.5660,3.4561,3.5660,Si
3.5670,3.4569,3.5670,Si
3.5680,3.4577,3.5680,Si
3.5690,3.4584,3.5690,Si
3.5700,3.4592,3.5700,Si
3.5710,3.4600,3.5710,Si
3.5720,3.4607,3.5720,Si
3.5730,3.4615,3.5730,Si
3.5740,3.4622,3.5740,Si
3.5750,3.4630,3.5750,Si
3.5760,3.4638,3.5760,Si
3.5770,3.4645,3.5770,Si
3.5780,3.4653,3.5780,Si
3.5790,3.4660,3.5790,Si
3.5800,3.4668,3.5800,Si
3.5810,3.4676,3.5810,Si
3.5820,3.4683,3.5820,Si
3.5830,3.4691,3.5830,Si
3.5840,3.4698,3.5840,Si
3.5850,3.4706,3.5850,Si
3.5860,3.4713,3.5860,Si
3.5870,3.4721,3.5870,Si
3.5880,3.4729,3.5880,Si
3.5890,3.4736,3.5890,Si
3.5900,3.4744,3.5900,Si
3.5910,3.4751,3.5910,Si
3.5920,3.4759,3.5920,Si
3.5930,3.4766,3.5930,Si
3.5940,3.4774,3.5940,Si
3.5950,3.4782,3.5950,Si
3.5960,3.4789,3.5960,Si
3.5970,3.4797,3.5970,Si
3.5980,3.4804,3.5980,Si
3.5990,3.4812,3.5990,Si
3.6000,3.4819,3.6000,Si
3.6010,3.4827,3.6010,Si
3.6020,3.4834,3.6020,Si
3.6030,3.4842,3.6030,Si
3.6040,3.4850,3.6040,Si
3.6050,3.4857,3.6050,Si
3.6060,3.4865,3.6060,Si
3.6070,3.4872,3.6070,Si
3.6080,3.4880,3.6080,Si
3.6090,3.4887,3.6090,Si
3.6100,3.4895,3.6100,Si
3.6110,3.4902,3.6110,Si
3.6120,3.4910,3.6120,Si
3.6130,3.4917,3.6130,Si
3.6140,3.4925,3.6140,Si
3.6150,3.4932,3.6150,Si
3.6160,3.4940,3.6160,Si
3.6170,3.4947,3.6170,Si
3.6180,3.4955,3.6180,Si
3.6190,3.4962,3.6190,Si
3.6200,3.4970,3.6200,Si
3.6210,3.4977,3.6210,Si
3.6220,3.4985,3.6220,Si
3.6230,3.4993,3.6230,Si
3.6240,3.5000,3.6240,Si
3.6250,3.5008,3.6250,Si
3.6260,3.5015,3.6260,Si
3.6270,3.5023,3.6270,Si
3.6280,3.5030,3.6280,Si
3.6290,3.5037,3.6290,Si
3.6300,3.5045,3.6300,Si
3.6310,3.5052,3.6310,Si
3.6320,3.5060,3.6320,Si
3.6330,3.5067,3.6330,Si
3.6340,3.5075,3.6340,Si
3.6350,3.5082,3.6350,Si
3.6360,3.5090,3.6360,Si
3.6370,3.5097,3.6370,Si
3.6380,3.5105,3.6380,Si
3.6390,3.5112,3.6390,Si
3.6400,3.5120,3.6400,Si
3.6410,3.5127,3.6410,Si
3.6420,3.5135,3.6420,Si
3.6430,3.5142,3.6430,Si
3.6440,3.5150,3.6440,Si
3.6450,3.5157,3.6450,Si
3.6460,3.5165,3.6460,Si
3.6470,3.5172,3.6470,Si
3.6480,3.5179,3.6480,Si
3.6490,3.5187,3.6490,Si
3.6500,3.5194,3.6500,Si
3.6510,3.5202,3.6510,Si
3.6520,3.5209,3.6520,Si
3.6530,3.5217,3.6530,Si
3.6540,3.5224,3.6540,Si
3.6550,3.5232,3.6550,Si
3.6560,3.5239,3.6560,Si
3.6570,3.5246,3.6570,Si
3.6580,3.5254,3.6580,Si
3.6590,3.5261,3.6590,Si
3.6600,3.5269,3.6600,Si
3.6610,3.5276,3.6610,Si
3.6620,3.5284,3.6620,Si
3.6630,3.5291,3.6630,Si
3.6640,3.5298,3.6640,Si
3.6650,3.5306,3.6650,Si
3.6660,3.5313,3.6660,Si
3.6670,3.5321,3.6670,Si
3.6680,3.5328,3.6680,Si
3.6690,3.5335,3.6690,Si
3.6700,3.5343,3.6700,Si
3.6710,3.5350,3.6710,Si
3.6720,3.5358,3.6720,Si
3.6730,3.5365,3.6730,Si
3.6740,3.5372,3.6740,Si
3.6750,3.5380,3.6750,Si
3.6760,3.5387,3.6760,Si
3.6770,3.5395,3.6770,Si
3.6780,3.5402,3.6780,Si
3.6790,3.5409,3.6790,Si
3.6800,3.5417,3.6800,Si
3.6810,3.5424,3.6810,Si
3.6820,3.5432,3.6820,Si
3.6830,3.5439,3.6830,Si
3.6840,3.5446,3.6840,Si
3.6850,3.5454,3.6850,Si
3.6860,3.5461,3.6860,Si
3.6870,3.5468,3.6870,Si
3.6880,3.5476,3.6880,Si
3.6890,3.5483,3.6890,Si
3.6900,3.5491,3.6900,Si
3.6910,3.5498,3.6910,Si
3.6920,3.5505,3.6920,Si
3.6930,3.5513,3.6930,Si
3.6940,3.5520,3.6940,Si
3.6950,3.5527,3.6950,Si
3.6960,3.5535,3.6960,Si
3.6970,3.5542,3.6970,Si
3.6980,3.5549,3.6980,Si
3.6990,3.5557,3.6990,Si
3.7000,3.5564,3.7000,Si
3.7010,3.5572,3.7010,Si
3.7020,3.5579,3.7020,Si
3.7030,3.5586,3.7030,Si
3.7040,3.5594,3.7040,Si
3.7050,3.5601,3.7050,Si
3.7060,3.5608,3.7060,Si
3.7070,3.5616,3.7070,Si
3.7080,3.5623,3.7080,Si
3.7090,3.5630,3.7090,Si
3.7100,3.5638,3.7100,Si
3.7110,3.5645,3.7110,Si
3.7120,3.5652,3.7120,Si
3.7130,3.5660,3.7130,Si
3.7140,3.5667,3.7140,Si
3.7150,3.5674,3.7150,Si
3.7160,3.5681,3.7160,Si
3.7170,3.5689,3.7170,Si
3.7180,3.5696,3.7180,Si
3.7190,3.5703,3.7190,Si
3.7200,3.5711,3.7200,Si
3.7210,3.5718,3.7210,Si
3.7220,3.5725,3.7220,Si
3.7230,3.5733,3.7230,Si
3.7240,3.5740,3.7240,Si
3.7250,3.5747,3.7250,Si
3.7260,3.5755,3.7260,Si
3.7270,3.5762,3.7270,Si
3.7280,3.5769,3.7280,Si
3.7290,3.5776,3.7290,Si
3.7300,3.5784,3.7300,Si
3.7310,3.5791,3.7310,Si
3.7320,3.5798,3.7320,Si
3.7330,3.5806,3.7330,Si
3.7340,3.5813,3.7340,Si
3.7350,3.5820,3.7350,Si
3.7360,3.5827,3.7360,Si
3.7370,3.5835,3.7370,Si
3.7380,3.5842,3.7380,Si
3.7390,3.5849,3.7390,Si
3.7400,3.5856,3.7400,Si
3.7410,3.5864,3.7410,Si
3.7420,3.5871,3.7420,Si
3.7430,3.5878,3.7430,Si
3.7440,3.5886,3.7440,Si
3.7450,3.5893,3.7450,Si
3.7460,3.5900,3.7460,Si
3.7470,3.5907,3.7470,Si
3.7480,3.5915,3.7480,Si
3.7490,3.5922,3.7490,Si
3.7500,3.5929,3.7500,Si
3.7510,3.5936,3.7510,Si
3.7520,3.5944,3.7520,Si
3.7530,3.5951,3.7530,Si
3.7540,3.5958,3.7540,Si
3.7550,3.5965,3.7550,Si
3.7560,3.5973,3.7560,Si
3.7570,3.5980,3.7570,Si
3.7580,3.5987,3.7580,Si
3.7590,3.5994,3.7590,Si
3.7600,3.6001,3.7600,Si
3.7610,3.6009,3.7610,Si
3.7620,3.6016,3.7620,Si
3.7630,3.6023,3.7630,Si
3.7640,3.6030,3.7640,Si
3.7650,3.6038,3.7650,Si
3.7660,3.6045,3.7660,Si
3.7670,3.6052,3.7670,Si
3.7680,3.6059,3.7680,Si
3.7690,3.6066,3.7690,Si
3.7700,3.6074,3.7700,Si
3.7710,3.6081,3.7710,Si
3.7720,3.6088,3.7720,Si
3.7730,3.6095,3.7730,Si
3.7740,3.6102,3.7740,Si
3.7750,3.6110,3.7750,Si
3.7760,3.6117,3.7760,Si
3.7770,3.6124,3.7770,Si
3.7780,3.6131,3.7780,Si
3.7790,3.6138,3.7790,Si
3.7800,3.6146,3.7800,Si
3.7810,3.6153,3.7810,Si
3.7820,3.6160,3.7820,Si
3.7830,3.6167,3.7830,Si
3.7840,3.6174,3.7840,Si
3.7850,3.6182,3.7850,Si
3.7860,3.6189,3.7860,Si
3.7870,3.6196,3.7870,Si
3.7880,3.6203,3.7880,Si
3.7890,3.6210,3.7890,Si
3.7900,3.6217,3.7900,Si
3.7910,3.6225,3.7910,Si
3.7920,3.6232,3.7920,Si
3.7930,3.6239,3.7930,Si
3.7940,3.6246,3.7940,Si
3.7950,3.6253,3.7950,Si
3.7960,3.6260,3.7960,Si
3.7970,3.6268,3.7970,Si
3.7980,3.6275,3.7980,Si
3.7990,3.6282,3.7990,Si
3.8000,3.6289,3.8000,Si
3.8010,3.6296,3.8010,Si
3.8020,3.6303,3.8020,Si
3.8030,3.6311,3.8030,Si
3.8040,3.6318,3.8040,Si
3.8050,3.6325,3.8050,Si
3.8060,3.6332,3.8060,Si
3.8070,3.6339,3.8070,Si
3.8080,3.6346,3.8080,Si
3.8090,3.6353,3.8090,Si
3.8100,3.6361,3.8100,Si
3.8110,3.6368,3.8110,Si
3.8120,3.6375,3.8120,Si
3.8130,3.6382,3.8130,Si
3.8140,3.6389,3.8140,Si
3.8150,3.6396,3.8150,Si
3.8160,3.6403,3.8160,Si
3.8170,3.6410,3.8170,Si
3.8180,3.6418,3.8180,Si
3.8190,3.6425,3.8190,Si
3.8200,3.6432,3.8200,Si
3.8210,3.6439,3.8210,Si
3.8220,3.6446,3.8220,Si
3.8230,3.6453,3.8230,Si
3.8240,3.6460,3.8240,Si
3.8250,3.6467,3.8250,Si
3.8260,3.6474,3.8260,Si
3.8270,3.6482,3.8270,Si
3.8280,3.6489,3.8280,Si
3.8290,3.6496,3.8290,Si
3.8300,3.6503,3.8300,Si
3.8310,3.6510,3.8310,Si
3.8320,3.6517,3.8320,Si
3.8330,3.6524,3.8330,Si
3.8340,3.6531,3.8340,Si
3.8350,3.6538,3.8350,Si
3.8360,3.6545,3.8360,Si
3.8370,3.6552,3.8370,Si
3.8380,3.6560,3.8380,Si
3.8390,3.6567,3.8390,Si
3.8400,3.6574,3.8400,Si
3.8410,3.6581,3.8410,Si
3.8420,3.6588,3.8420,Si
3.8430,3.6595,3.8430,Si
3.8440,3.6602,3.8440,Si
3.8450,3.6609,3.8450,Si
3.8460,3.6616,3.8460,Si
3.8470,3.6623,3.8470,Si
3.8480,3.6630,3.8480,Si
3.8490,3.6637,3.8490,Si
3.8500,3.6644,3.8500,Si
3.8510,3.6651,3.8510,Si
3.8520,3.6659,3.8520,Si
3.8530,3.6666,3.8530,Si
3.8540,3.6673,3.8540,Si
3.8550,3.6680,3.8550,Si
3.8560,3.6687,3.8560,Si
3.8570,3.6694,3.8570,Si
3.8580,3.6701,3.8580,Si
3.8590,3.6708,3.8590,Si
3.8600,3.6715,3.8600,Si
3.8610,3.6722,3.8610,Si
3.8620,3.6729,3.8620,Si
3.8630,3.6736,3.8630,Si
3.8640,3.6743,3.8640,Si
3.8650,3.6750,3.8650,Si
3.8660,3.6757,3.8660,Si
3.8670,3.6764,3.8670,Si
3.8680,3.6771,3.8680,Si
3.8690,3.6778,3.8690,Si
3.8700,3.6785,3.8700,Si
3.8710,3.6792,3.8710,Si
3.8720,3.6799,3.8720,Si
3.8730,3.6806,3.8730,Si
3.8740,3.6813,3.8740,Si
3.8750,3.6820,3.8750,Si
3.8760,3.6827,3.8760,Si
3.8770,3.6834,3.8770,Si
3.8780,3.6841,3.8780,Si
3.8790,3.6848,3.8790,Si
3.8800,3.6855,3.8800,Si
3.8810,3.6862,3.8810,Si
3.8820,3.6869,3.8820,Si
3.8830,3.6876,3.8830,Si
3.8840,3.6883,3.8840,Si
3.8850,3.6890,3.8850,Si
3.8860,3.6897,3.8860,Si
